City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
599,harlingen,US,81.05,clear sky,26.1906,-97.6961,Courtyard by Marriott Harlingen
608,ambon,ID,87.94,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
629,natal,BR,77.22,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
631,pochutla,MX,80.82,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
633,trincomalee,LK,83.44,overcast clouds,8.5711,81.2335,Welcombe Hotel
648,amahai,ID,85.57,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
649,nioro,GM,79.45,clear sky,13.35,-15.75,
653,sorong,ID,83.98,scattered clouds,-0.8833,131.25,Waigo Splash Hotel
654,itarema,BR,76.57,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
655,tutoia,BR,78.06,overcast clouds,-2.7619,-42.2744,Pousada Guará's
663,umm lajj,SA,76.17,scattered clouds,25.0213,37.2685,Moon light Furnished Units
668,wanning,CN,80.64,overcast clouds,18.8003,110.3967,Paradise Hotel
671,zachary,US,78.67,scattered clouds,30.6485,-91.1565,"Holiday Inn Express & Suites Baton Rouge North, an IHG Hotel"
