City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Ixtapa,MX,2022-05-06 00:18:46,20.7,-105.2,78.03,73,20,11.5
59,Ola,RU,2022-05-06 00:18:46,59.5833,151.2833,32.14,92,100,8.52
60,Nioro,GM,2022-05-06 00:18:47,13.35,-15.75,85.51,27,0,9.37
61,Port Hardy,CA,2022-05-06 00:15:20,50.6996,-127.4199,46.58,87,100,9.22
62,Luderitz,NA,2022-05-06 00:18:47,-26.6481,15.1594,61.48,68,0,6.71
63,Oyama,JP,2022-05-06 00:18:47,36.3,139.8,70.59,56,96,5.53
64,Tasiilaq,GL,2022-05-06 00:18:48,65.6145,-37.6368,24.96,74,38,4.85
65,Tamiahua,MX,2022-05-06 00:18:48,21.2667,-97.45,83.14,79,22,15.35
66,Praia Da Vitoria,PT,2022-05-06 00:18:48,38.7333,-27.0667,63.75,88,75,21.43
67,Mar Del Plata,AR,2022-05-06 00:18:20,-38.0023,-57.5575,60.87,74,0,10.36
68,Tuktoyaktuk,CA,2022-05-06 00:17:42,69.4541,-133.0374,26.6,93,100,18.41
69,Chuy,UY,2022-05-06 00:18:49,-33.6971,-53.4616,56.01,79,95,4.7
70,Haines Junction,CA,2022-05-06 00:17:08,60.7522,-137.5108,48.15,34,100,12.66
71,Palana,RU,2022-05-06 00:18:49,59.1167,159.9667,28.78,83,100,20.24
72,Newark,US,2022-05-06 00:16:31,40.7357,-74.1724,69.15,55,75,8.05
73,Vagur,FO,2022-05-06 00:18:50,61.4732,-6.8119,47.39,95,100,26.33
74,Nhulunbuy,AU,2022-05-06 00:18:50,-12.2333,136.7667,86.61,66,40,18.41
75,Butaritari,KI,2022-05-06 00:18:51,3.0707,172.7902,81.45,72,64,21.23
76,Mtwara,TZ,2022-05-06 00:18:51,-10.2667,40.1833,72.86,93,6,9.6
77,Northam,GB,2022-05-06 00:18:52,51.0333,-4.2167,51.62,89,60,4.9
78,White Oak,US,2022-05-06 00:18:52,39.2131,-84.5994,59.09,92,100,9.22
79,Saint-Augustin,CA,2022-05-06 00:18:52,51.226,-58.6502,39.02,67,93,9.22
80,Kodinsk,RU,2022-05-06 00:18:53,58.6881,99.1844,39.0,58,69,5.57
81,Atuona,PF,2022-05-06 00:08:59,-9.8,-139.0333,79.2,77,100,15.08
82,Kodiak,US,2022-05-06 00:18:32,57.79,-152.4072,44.11,81,100,11.5
83,Zhigansk,RU,2022-05-06 00:18:53,66.7697,123.3711,23.76,87,29,5.55
84,Yulara,AU,2022-05-06 00:18:54,-25.2406,130.9889,57.04,41,24,13.8
85,Lompoc,US,2022-05-06 00:18:54,34.6391,-120.4579,73.69,73,0,23.0
86,Nueva Armenia,HN,2022-05-06 00:18:55,15.7956,-86.4985,84.38,82,63,5.66
87,Singkang,MY,2022-05-06 00:18:55,2.1006,102.7994,77.32,92,100,1.48
88,Kovvur,IN,2022-05-06 00:19:55,17.0167,81.7333,79.09,74,46,2.62
89,Asau,RO,2022-05-06 00:19:56,46.4333,26.4,40.28,86,20,2.17
90,Vostok,RU,2022-05-06 00:19:56,46.4856,135.8833,61.88,47,94,11.18
91,Biloela,AU,2022-05-06 00:19:57,-24.4167,150.5,79.48,56,9,3.47
92,Catalina,US,2022-05-06 00:19:57,32.5056,-110.9211,91.51,6,0,4.0
93,Norman Wells,CA,2022-05-06 00:19:57,65.282,-126.8329,39.24,60,75,16.11
94,San Jeronimo,PE,2022-05-06 00:19:58,-11.9472,-75.2829,51.51,78,83,5.03
95,Saldanha,ZA,2022-05-06 00:19:58,-33.0117,17.9442,58.42,96,41,4.56
96,Kavieng,PG,2022-05-06 00:19:58,-2.5744,150.7967,84.99,74,69,13.31
97,Llodio,ES,2022-05-06 00:19:59,43.1432,-2.962,52.18,81,20,3.44
98,Sao Filipe,CV,2022-05-06 00:19:59,14.8961,-24.4956,72.21,82,24,4.72
99,Flin Flon,CA,2022-05-06 00:20:00,54.7682,-101.865,40.21,100,100,8.46
100,Nizwa,OM,2022-05-06 00:20:00,22.9333,57.5333,78.13,32,0,3.11
101,Kihei,US,2022-05-06 00:20:01,20.785,-156.4656,82.42,75,40,23.02
102,Kurchum,KZ,2022-05-06 00:20:01,48.5722,83.6542,59.23,48,100,3.6
103,Targusor,RO,2022-05-06 00:20:01,44.45,28.4167,42.49,61,0,10.36
